feature,mean,lower,upper,posterior_sd,abs_mean,description
intercept,22.800515812136144,22.321487349631198,23.270729040712677,0.24218102726328736,22.800515812136144,
lstat,-3.5916584316143574,-4.351548695097548,-2.835201932109617,0.3901843128574464,3.5916584316143574,Percentage of lower-status population
rm,3.149444514194923,2.505322157877744,3.7884980308920486,0.32532467674660726,3.149444514194923,Average rooms per dwelling
dis,-2.992598661767879,-3.895918725078089,-2.0543100685247317,0.4767098130717233,2.992598661767879,Weighted distance to Boston employment centres
rad,2.0899257057462077,0.85321080740698,3.309289818488456,0.6259794384964517,2.0899257057462077,Accessibility index for radial highways
ptratio,-2.0181178003720763,-2.6693346184684246,-1.4135881657652232,0.3261901142510899,2.0181178003720763,Pupil-teacher ratio by town
nox,-1.9451970057083126,-2.956633730318803,-0.970394202573628,0.5048509774195007,1.9451970057083126,Nitric oxides concentration
tax,-1.6231729862831703,-2.9526518772160886,-0.37495123530924385,0.6693502830555211,1.6231729862831703,Property tax rate
b,1.134410506533164,0.5995953467716985,1.6817994915135217,0.2734891251494835,1.134410506533164,Legacy racial composition transform from the original dataset
crim,-0.9745327262031925,-1.5696925905753953,-0.37758758939353015,0.30238903018922675,0.9745327262031925,Per-capita crime rate by town
chas,0.7190925164075446,0.23917284317964577,1.2104154893247372,0.24991039427487471,0.7190925164075446,Charles River dummy variable
zn,0.6509620694944895,-0.04129663806224302,1.3808708643331065,0.36197407860795033,0.6509620694944895,"Residential land zoned for lots over 25,000 sq.ft."
indus,0.22628418940188538,-0.7051185919584515,1.1040547303452977,0.46189155701057055,0.22628418940188538,Non-retail business acres per town
age,-0.17107322420259832,-0.9550910836299408,0.5771791219065855,0.3991438889464262,0.17107322420259832,Owner-occupied units built before 1940
