reference_model,comparison_model,metric,n_repeats,mean_difference,std_difference,ci95_lower,ci95_upper,win_rate_for_gibbs
Bayesian Gibbs,Ordinary least squares,rmse,30,0.0007811940607870049,0.009302983650837995,-0.0026925971245961755,0.004254985246170185,0.5333333333333333
Bayesian Gibbs,Ordinary least squares,mae,30,0.01120688113973527,0.008712123450892355,0.00795372077897791,0.014460041500492632,0.9
Bayesian Gibbs,Ordinary least squares,r2,30,-0.00013322394014770496,0.0011016665922694415,-0.000544593006362498,0.000278145126067088,0.5333333333333333
Bayesian Gibbs,Ordinary least squares,coverage_95,30,-0.0006535947712418314,0.0035798859967657885,-0.0019903461713285647,0.0006831566288449016,0.5333333333333333
Bayesian Gibbs,Ordinary least squares,mean_interval_width,30,-0.3652628902561401,0.06516322310107397,-0.38959523765301834,-0.3409305428592619,0.0
Bayesian Gibbs,Ordinary least squares,nlpd,30,0.014702502848447215,0.014797790296057616,0.009176917141439839,0.02022808855545459,0.9
Bayesian Gibbs,Ordinary least squares,crps,30,0.0022983093978786212,0.006972299199824985,-0.0003051899106496182,0.004901808706406861,0.6333333333333333
Bayesian Gibbs,Ordinary least squares,interval_score_95,30,0.1572276900077102,0.37236224437667087,0.01818534286044199,0.2962700371549784,0.7
Bayesian Gibbs,RidgeCV,rmse,30,0.0030538945848565496,0.012132463742365743,-0.0014764418305379628,0.007584231000251062,0.6
Bayesian Gibbs,RidgeCV,mae,30,-0.011005399994155151,0.00768174406842198,-0.013873810370309053,-0.00813698961800125,0.06666666666666667
Bayesian Gibbs,RidgeCV,r2,30,-0.0003034030927347738,0.0014152231317408346,-0.0008318560950088185,0.0002250499095392709,0.6
Bayesian Gibbs,RidgeCV,coverage_95,30,-0.000980392156862749,0.0029914566336212353,-0.002097420421702645,0.00013663610797714728,0.55
Bayesian Gibbs,RidgeCV,mean_interval_width,30,-0.3496052345120212,0.06475068444508185,-0.373783537443102,-0.3254269315809404,0.0
Bayesian Gibbs,RidgeCV,nlpd,30,0.015470592883377895,0.017261086705059152,0.009025197180595156,0.021915988586160635,0.7666666666666667
Bayesian Gibbs,RidgeCV,crps,30,-0.005425588182416844,0.00760827743405267,-0.00826656566645028,-0.002584610698383407,0.26666666666666666
Bayesian Gibbs,RidgeCV,interval_score_95,30,0.31131425045620403,0.3970732110593885,0.1630446767043841,0.45958382420802396,0.8
Bayesian Gibbs,BayesianRidge,rmse,30,0.0022118412268667953,0.013289119980191538,-0.002750397725851405,0.0071740801795849955,0.6
Bayesian Gibbs,BayesianRidge,mae,30,-0.01376832295434151,0.009361525626351343,-0.017263974072639316,-0.010272671836043704,0.06666666666666667
Bayesian Gibbs,BayesianRidge,r2,30,-0.00018964085263392476,0.001564460670813246,-0.0007738200678322845,0.000394538362564435,0.6
Bayesian Gibbs,BayesianRidge,coverage_95,30,0.0009803921568627453,0.0029914566336212223,-0.00013663610797714641,0.0020974204217026372,0.45
Bayesian Gibbs,BayesianRidge,mean_interval_width,30,-0.08217384039169176,0.04792925313860537,-0.10007091764387943,-0.06427676313950409,0.06666666666666667
Bayesian Gibbs,BayesianRidge,nlpd,30,0.005129024538061359,0.007633063401761954,0.0022787918215797865,0.007979257254542932,0.7333333333333333
Bayesian Gibbs,BayesianRidge,crps,30,-0.006983908646169098,0.0071164241366043325,-0.009641225090550619,-0.004326592201787577,0.16666666666666666
Bayesian Gibbs,BayesianRidge,interval_score_95,30,0.06659767676509874,0.26474245753303927,-0.032258781538158796,0.16545413506835627,0.5666666666666667
Bayesian Gibbs,ARDRegression,rmse,30,0.010854582612780961,0.048733835705680434,-0.0073429307074811215,0.029052095933043046,0.5333333333333333
Bayesian Gibbs,ARDRegression,mae,30,-0.0042293894321560575,0.025426407360516698,-0.013723765976284316,0.005264987111972201,0.4666666666666667
Bayesian Gibbs,ARDRegression,r2,30,-0.001193426439309438,0.005465038073813356,-0.003234105193688011,0.0008472523150691352,0.5333333333333333
Bayesian Gibbs,ARDRegression,coverage_95,30,0.0006535947712418277,0.002487334624533936,-0.00027519124173004856,0.001582380784213704,0.4666666666666667
Bayesian Gibbs,ARDRegression,mean_interval_width,30,-0.17568890317169494,0.0529807927743633,-0.1954722563239514,-0.15590555001943848,0.0
Bayesian Gibbs,ARDRegression,nlpd,30,0.008025743824523701,0.015009313967949928,0.00242117388036213,0.013630313768685273,0.6
Bayesian Gibbs,ARDRegression,crps,30,-0.0022525942969675436,0.02396995421237653,-0.01120312229767961,0.0066979337037445215,0.43333333333333335
Bayesian Gibbs,ARDRegression,interval_score_95,30,0.05613667448455135,0.3992039583216013,-0.09292853337085938,0.20520188233996206,0.4
