model,metric,n_repeats,mean,std,ci95_lower,ci95_upper
Ordinary least squares,rmse,30,4.924516676448474,0.552531693618809,4.7181979512978645,5.130835401599083
Ordinary least squares,mae,30,3.4218058808132197,0.2883236150193337,3.3141440735927206,3.529467688033719
Ordinary least squares,r2,30,0.7117930624462078,0.05402027135058087,0.6916215616145631,0.7319645632778524
Ordinary least squares,coverage_95,30,0.9477124183006533,0.02081053452961696,0.939941636998078,0.9554831996032287
Ordinary least squares,mean_interval_width,30,18.52497603930153,0.5644276349981693,18.314215296637354,18.73573678196571
Ordinary least squares,nlpd,30,3.0301096164826564,0.1346034756588279,2.9798478526426804,3.0803713803226325
Ordinary least squares,crps,30,2.5791316774840682,0.21297654007567052,2.4996049304343053,2.658658424533831
Ordinary least squares,interval_score_95,30,30.089262561227866,5.835650563830785,27.910194828717586,32.268330293738146
RidgeCV,rmse,30,4.926789376972544,0.5625528201796054,4.716728701666904,5.136850052278184
RidgeCV,mae,30,3.399593599679329,0.29274764498290023,3.290279832521233,3.5089073668374255
RidgeCV,r2,30,0.7116228832936209,0.054209942109240676,0.6913805582367291,0.7318652083505127
RidgeCV,coverage_95,30,0.9473856209150324,0.020674716678234326,0.9396655548316447,0.9551056869984201
RidgeCV,mean_interval_width,30,18.540633695045646,0.5643351776615803,18.32990747651834,18.75135991357295
RidgeCV,nlpd,30,3.030877706517586,0.13659487644199608,2.9798723414044304,3.0818830716307417
RidgeCV,crps,30,2.5714077799037725,0.21502009336721048,2.4911179575141564,2.6516976022933885
RidgeCV,interval_score_95,30,30.243349121676356,5.9030854232877195,28.039100798813436,32.44759744453928
BayesianRidge,rmse,30,4.925947323614554,0.5632634754581666,4.715621285266779,5.136273361962329
BayesianRidge,mae,30,3.396830676719143,0.29403138074076185,3.2870375547510853,3.5066237986872006
BayesianRidge,r2,30,0.7117366455337214,0.05416869279781113,0.6915097232228544,0.7319635678445884
BayesianRidge,coverage_95,30,0.949346405228758,0.01995688875494749,0.9418943804970619,0.9567984299604542
BayesianRidge,mean_interval_width,30,18.808065089165975,0.5640163288032572,18.597457930759063,19.018672247572887
BayesianRidge,nlpd,30,3.02053613817227,0.12716008505430293,2.973053782062311,3.068018494282229
BayesianRidge,crps,30,2.569849459440021,0.21340326370081453,2.49016337116993,2.6495355477101126
BayesianRidge,interval_score_95,30,29.99863254798525,5.7559063716916885,27.84934178619052,32.147923309779976
ARDRegression,rmse,30,4.934590065000468,0.5672641759803286,4.722770140526387,5.14640998947455
ARDRegression,mae,30,3.406369610241329,0.2913681143178115,3.2975709682994223,3.5151682521832353
ARDRegression,r2,30,0.7107328599470458,0.05479994740973018,0.6902702232902315,0.7311954966038602
ARDRegression,coverage_95,30,0.949019607843137,0.020337994331868267,0.9414252759502659,0.9566139397360081
ARDRegression,mean_interval_width,30,18.71455002638597,0.562432484634522,18.504534285111337,18.924565767660606
ARDRegression,nlpd,30,3.0234328574587335,0.1299760501659784,2.9748990026951785,3.0719667122222885
ARDRegression,crps,30,2.574580773789222,0.21482211282295108,2.494364878549791,2.654796669028653
ARDRegression,interval_score_95,30,29.988171545704706,5.832644712985974,27.810226216346056,32.16611687506335
Bayesian Gibbs,rmse,30,4.923735482387688,0.557563972351204,4.715537673476525,5.131933291298851
Bayesian Gibbs,mae,30,3.4105989996734847,0.29123602284058475,3.301849681499788,3.5193483178471814
Bayesian Gibbs,r2,30,0.7119262863863554,0.054112029918176416,0.6917205223424704,0.7321320504302403
Bayesian Gibbs,coverage_95,30,0.9483660130718953,0.020097558221347903,0.9408614614981907,0.9558705646455998
Bayesian Gibbs,mean_interval_width,30,18.89023892955767,0.582704710392279,18.67265341477934,19.107824444335996
Bayesian Gibbs,nlpd,30,3.015407113634209,0.12073700008157166,2.9703231768699867,3.060491050398431
Bayesian Gibbs,crps,30,2.5768333680861897,0.2125098443326726,2.497480888090861,2.656185848081518
Bayesian Gibbs,interval_score_95,30,29.932034871220157,5.723053475430558,27.795011582499615,32.0690581599407
